fecha,mes,año,patente,km inicio,km termino,km recorrido,personal_id,cargo,turno,tipo he,horas extras,monto turno,monto he,monto a pagar
11-07-23,7.0,2023.0,JSTG 66,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
12-07-23,7.0,2023.0,JSTG 66,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
26-07-23,7.0,2023.0,KCGH 28,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
27-07-23,7.0,2023.0,KCGH 28,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
12-09-23,9.0,2023.0,HDWX 84,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
13-09-23,9.0,2023.0,JSTG 66,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
14-09-23,9.0,2023.0,JSTG 66,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,0.0,35000.0
04-07-23,7.0,2023.0,JSTG 66,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,1458.5,36458.0
06-07-23,7.0,2023.0,HSBS 44,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,1458.5,36458.0
07-07-23,7.0,2023.0,JSTG 66,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,1458.5,36458.0
10-07-23,7.0,2023.0,JSTG 66,0.0,0.0,0.0,JPC,tens,dia,he dia,0.0,35000.0,1458.5,36458.0
13-07-23,7.0,2023.0,JSTG 66,0.0,0.0,0.0,JPC,tens,dia,he dia,1.0,35000.0,2917.0,37917.0
19-07-23,7.0,2023.0,KCGH 28,0.0,0.0,0.0,JPC,tens,dia,he dia,1.0,35000.0,2917.0,37917.0
20-07-23,7.0,2023.0,HDXD 57,0.0,0.0,0.0,JPC,tens,dia,he dia,1.0,35000.0,2917.0,37917.0
21-07-23,7.0,2023.0,JSTG 66,0.0,0.0,0.0,JPC,tens,dia,he dia,1.0,35000.0,2917.0,37917.0
28-07-23,7.0,2023.0,KCGH 28,0.0,0.0,0.0,JPC,tens,dia,he dia,1.0,35000.0,2917.0,37917.0
02-08-23,8.0,2023.0,JSTG 66,0.0,0.0,0.0,JPC,tens,dia,he dia,1.0,35000.0,2917.0,37917.0
10-08-23,8.0,2023.0,HDXD 57,0.0,0.0,0.0,JPC,tens,dia,he dia,1.0,35000.0,2917.0,37917.0
17-08-23,8.0,2023.0,HDWX 84,0.0,0.0,0.0,JPC,tens,dia,he dia,1.0,35000.0,2917.0,37917.0
